Stars,Product,Origin,CD_name,Dest,DistanceTravelled_Fac_CD,TruckType,DriverF_CD,DaysStocked,FloorCD,DistanceTravelled_CD_Client,TruckType2,DriverCD_C,RoutDeliveryOrder
2,P7,F2,CD1,C103,36,Truck,D06,15,0,60.9,Van,D1_5,2
2,P5,F1,CD2,C203,162,SemiTrailler,D01,28,1,150.7,Van,D2_1,5
2,P13,F4,CD1,C103,36,SemiTrailler,D01,30,2,177.7,Van,D1_4,6
4,P3,F3,CD2,C202,162,SemiTrailler,D05,23,2,88,Van,D2_6,3
5,P2,F1,CD3,C302,58,SemiTrailler,D05,19,3,121.4,Van,D3_2,4
2,P2,F2,CD1,C103,36,Truck,D01,33,4,30.1,Van,D1_1,1
5,P4,F2,CD2,C203,162,Truck,D06,28,2,30.5,MiniVan,D2_3,1
4,P11,F1,CD3,C305,58,SemiTrailler,D06,23,3,150.6,Van,D3_2,5
4,P11,F2,CD2,C201,162,Truck,D01,22,3,88.1,Van,D2_1,3
3,P5,F2,CD2,C203,162,Truck,D05,32,0,58,CityDeliveryTruck,D2_7,2
5,P7,F4,CD1,C102,36,SemiTrailler,D03,10,1,94.4,CityDeliveryTruck,D1_1,3
1,P7,F1,CD2,C201,162,SemiTrailler,D01,16,3,146.3,CityDeliveryTruck,D2_6,5
3,P5,F1,CD1,C103,36,SemiTrailler,D04,5,2,31.1,CityDeliveryTruck,D1_2,1
4,P1,F3,CD1,C101,36,SemiTrailler,D06,13,1,114,MiniVan,D1_5,4
5,P5,F3,CD1,C102,36,SemiTrailler,D04,31,1,62.2,Van,D1_5,2
4,P8,F1,CD3,C303,58,SemiTrailler,D01,15,4,93.8,CityDeliveryTruck,D3_2,3
1,P11,F2,CD3,C301,58,SemiTrailler,D02,31,2,116,CityDeliveryTruck,D3_7,4
2,P9,F3,CD2,C202,162,Truck,D04,29,4,142.6,Van,D2_7,5
4,P2,F1,CD3,C305,58,SemiTrailler,D03,27,0,154.1,Van,D3_2,5
2,P6,F3,CD1,C105,36,SemiTrailler,D03,27,2,123.9,Van,D1_5,4
4,P12,F4,CD3,C304,58,SemiTrailler,D06,19,0,30.5,Van,D3_1,1
5,P10,F2,CD2,C201,162,SemiTrailler,D03,6,3,60.8,Van,D2_3,2
1,P9,F2,CD3,C305,58,Truck,D01,35,4,60,CityDeliveryTruck,D3_6,2
5,P1,F1,CD2,C205,162,SemiTrailler,D06,37,2,143,Van,D2_3,5
1,P14,F3,CD2,C202,162,SemiTrailler,D02,7,4,90.9,Van,D2_4,3
5,P8,F2,CD3,C302,58,SemiTrailler,D02,23,4,115.6,CityDeliveryTruck,D3_2,4
4,P5,F1,CD1,C104,36,SemiTrailler,D02,6,0,85.9,Van,D1_7,3
2,P4,F2,CD1,C105,36,Truck,D06,25,3,62.1,Van,D1_2,2
2,P3,F3,CD2,C201,162,Truck,D04,29,0,92.6,Van,D2_7,3
1,P14,F4,CD2,C202,162,SemiTrailler,D03,34,3,91.1,Van,D2_3,3
2,P12,F4,CD1,C105,36,SemiTrailler,D05,6,1,94.1,Van,D1_7,3
2,P13,F2,CD1,C105,36,SemiTrailler,D01,14,4,30.3,MiniVan,D1_7,1
3,P12,F1,CD2,C203,162,SemiTrailler,D04,30,1,177.2,Van,D2_1,6
3,P6,F4,CD2,C204,162,SemiTrailler,D02,30,4,146.3,CityDeliveryTruck,D2_5,5
3,P5,F2,CD2,C202,162,SemiTrailler,D05,10,0,29.2,Van,D2_7,1
4,P2,F1,CD3,C302,58,SemiTrailler,D06,32,3,92.7,Van,D3_3,3
2,P14,F3,CD3,C303,58,Truck,D01,10,0,173.3,Van,D3_2,6
1,P5,F2,CD1,C105,36,Truck,D04,10,2,90,Van,D1_2,3
2,P8,F3,CD1,C105,36,SemiTrailler,D04,31,0,147.1,Van,D1_2,5
3,P3,F4,CD3,C305,58,Truck,D03,31,0,57.7,CityDeliveryTruck,D3_3,2
3,P9,F2,CD2,C203,162,SemiTrailler,D04,7,4,57.3,Van,D2_5,2
5,P1,F3,CD1,C101,36,SemiTrailler,D02,36,4,61.4,Van,D1_2,2
2,P8,F2,CD3,C305,58,Truck,D04,19,3,122.4,CityDeliveryTruck,D3_6,4
3,P1,F1,CD3,C305,58,Truck,D06,23,2,146.3,Van,D3_5,5
1,P7,F1,CD3,C301,58,SemiTrailler,D01,18,4,180.9,MiniVan,D3_1,6
3,P13,F3,CD2,C201,162,Truck,D06,27,1,183.5,MiniVan,D2_5,6
5,P15,F3,CD3,C303,58,SemiTrailler,D04,10,0,120.4,CityDeliveryTruck,D3_2,4
2,P8,F3,CD3,C303,58,Truck,D04,6,3,87.9,CityDeliveryTruck,D3_4,3
4,P11,F1,CD1,C104,36,Truck,D05,15,4,121.5,Van,D1_2,4
2,P2,F2,CD1,C103,36,SemiTrailler,D06,33,3,92.6,Van,D1_1,3
1,P4,F1,CD1,C103,36,SemiTrailler,D01,22,3,91.9,Van,D1_6,3
5,P6,F4,CD2,C205,162,SemiTrailler,D05,30,4,179.2,MiniVan,D2_6,6
5,P9,F3,CD1,C104,36,SemiTrailler,D02,7,4,154.5,MiniVan,D1_4,5
5,P15,F2,CD3,C302,58,Truck,D01,5,4,153,MiniVan,D3_3,5
3,P1,F3,CD3,C303,58,SemiTrailler,D05,37,3,178.5,CityDeliveryTruck,D3_2,6
2,P13,F2,CD1,C104,36,SemiTrailler,D01,6,2,57,Van,D1_6,2
3,P10,F1,CD1,C102,36,SemiTrailler,D04,16,0,147.7,Van,D1_3,5
5,P3,F3,CD2,C205,162,Truck,D02,7,0,86.3,CityDeliveryTruck,D2_6,3
2,P8,F4,CD2,C204,162,SemiTrailler,D02,25,3,188.6,CityDeliveryTruck,D2_6,6
4,P1,F3,CD1,C105,36,SemiTrailler,D03,5,2,57.2,CityDeliveryTruck,D1_2,2
3,P3,F4,CD2,C203,162,SemiTrailler,D02,37,4,143.6,MiniVan,D2_6,5
4,P1,F3,CD1,C102,36,Truck,D04,35,3,58.9,CityDeliveryTruck,D1_7,2
2,P8,F2,CD3,C301,58,SemiTrailler,D04,32,3,31.5,CityDeliveryTruck,D3_4,1
5,P15,F3,CD1,C102,36,SemiTrailler,D01,9,0,115.8,MiniVan,D1_7,4
3,P1,F4,CD1,C104,36,SemiTrailler,D04,36,1,144.1,CityDeliveryTruck,D1_5,5
5,P12,F1,CD2,C204,162,SemiTrailler,D02,18,1,59.8,Van,D2_4,2
1,P2,F3,CD1,C103,36,SemiTrailler,D03,13,0,28.6,MiniVan,D1_2,1
4,P15,F2,CD2,C204,162,SemiTrailler,D05,5,3,30.3,Van,D2_6,1
5,P6,F4,CD3,C305,58,SemiTrailler,D03,19,1,29.4,MiniVan,D3_7,1
4,P10,F1,CD2,C202,162,SemiTrailler,D06,6,0,125.1,Van,D2_5,4
1,P13,F1,CD1,C102,36,Truck,D02,26,3,176.2,Van,D1_1,6
3,P4,F1,CD3,C303,58,SemiTrailler,D01,5,4,62.3,MiniVan,D3_3,2
4,P10,F4,CD1,C103,36,SemiTrailler,D04,18,3,28.8,CityDeliveryTruck,D1_3,1
2,P4,F2,CD1,C101,36,SemiTrailler,D02,16,1,115.4,MiniVan,D1_5,4
4,P4,F2,CD1,C101,36,SemiTrailler,D05,34,2,119.9,MiniVan,D1_5,4
3,P13,F1,CD3,C303,58,SemiTrailler,D06,20,3,87.4,Van,D3_3,3
3,P8,F2,CD3,C301,58,Truck,D01,9,0,120.6,CityDeliveryTruck,D3_4,4
3,P2,F3,CD1,C105,36,Truck,D02,15,2,58.8,CityDeliveryTruck,D1_6,2
2,P12,F1,CD1,C101,36,Truck,D03,28,2,175.5,CityDeliveryTruck,D1_7,6
4,P15,F2,CD3,C303,58,SemiTrailler,D04,28,2,147.1,Van,D3_6,5
2,P8,F4,CD2,C201,162,SemiTrailler,D01,20,2,88,Van,D2_7,3
3,P2,F3,CD2,C203,162,SemiTrailler,D06,33,0,28.7,CityDeliveryTruck,D2_3,1
5,P5,F3,CD3,C302,58,Truck,D06,17,2,31.5,Van,D3_7,1
3,P7,F4,CD1,C101,36,SemiTrailler,D02,32,0,155.5,CityDeliveryTruck,D1_5,5
1,P5,F1,CD1,C103,36,SemiTrailler,D05,32,4,115.2,MiniVan,D1_2,4
1,P3,F3,CD2,C202,162,SemiTrailler,D02,26,3,30.7,CityDeliveryTruck,D2_4,1
5,P3,F1,CD3,C303,58,SemiTrailler,D01,32,2,62.6,Van,D3_4,2
3,P11,F3,CD3,C303,58,Truck,D02,14,3,121.6,Van,D3_6,4
3,P5,F4,CD1,C102,36,SemiTrailler,D04,11,3,59.6,Van,D1_5,2
3,P13,F1,CD1,C105,36,SemiTrailler,D05,25,0,179.8,MiniVan,D1_3,6
2,P6,F1,CD2,C204,162,Truck,D01,36,3,59.5,MiniVan,D2_5,2
2,P4,F3,CD3,C301,58,SemiTrailler,D03,20,0,88.9,Van,D3_6,3
3,P14,F4,CD1,C103,36,SemiTrailler,D03,18,0,183,Van,D1_1,6
5,P9,F4,CD1,C103,36,SemiTrailler,D01,17,3,88.2,Van,D1_7,3
3,P9,F4,CD1,C104,36,Truck,D03,24,2,86.2,MiniVan,D1_6,3
3,P15,F4,CD2,C201,162,Truck,D06,20,3,91.9,MiniVan,D2_2,3
3,P8,F1,CD3,C301,58,SemiTrailler,D04,18,2,30.5,Van,D3_1,1
4,P2,F2,CD2,C204,162,Truck,D06,11,3,120.8,Van,D2_5,4
3,P10,F2,CD3,C304,58,SemiTrailler,D02,7,3,175.8,Van,D3_7,6
3,P9,F2,CD2,C201,162,SemiTrailler,D04,33,0,148.9,Van,D2_3,5
3,P14,F1,CD3,C305,58,Truck,D05,25,3,29.9,MiniVan,D3_4,1
3,P14,F1,CD3,C302,58,SemiTrailler,D05,24,1,121.4,Van,D3_5,4
4,P11,F3,CD2,C203,162,Truck,D04,36,2,185.7,Van,D2_7,6
2,P8,F4,CD2,C203,162,SemiTrailler,D04,28,2,91.6,Van,D2_1,3
3,P10,F2,CD3,C303,58,SemiTrailler,D01,33,2,60.9,Van,D3_5,2
5,P8,F3,CD2,C201,162,Truck,D06,37,2,180,MiniVan,D2_7,6
2,P3,F3,CD2,C205,162,SemiTrailler,D02,14,3,61.1,CityDeliveryTruck,D2_5,2
2,P14,F1,CD1,C103,36,SemiTrailler,D02,20,3,187.9,MiniVan,D1_6,6
5,P10,F4,CD2,C202,162,SemiTrailler,D06,24,2,144,MiniVan,D2_6,5
2,P14,F3,CD2,C204,162,SemiTrailler,D06,14,4,114.8,CityDeliveryTruck,D2_2,4
1,P11,F2,CD2,C201,162,Truck,D05,36,2,88.1,Van,D2_3,3
3,P9,F4,CD3,C305,58,SemiTrailler,D02,17,1,120.1,MiniVan,D3_1,4
5,P3,F4,CD3,C305,58,SemiTrailler,D06,6,1,60.6,Van,D3_1,2
5,P15,F4,CD2,C205,162,SemiTrailler,D05,11,1,30.2,Van,D2_3,1
3,P1,F2,CD2,C201,162,SemiTrailler,D05,33,0,114.4,Van,D2_3,4
3,P4,F2,CD2,C205,162,SemiTrailler,D02,23,0,29,Van,D2_1,1
1,P5,F3,CD1,C105,36,SemiTrailler,D02,11,2,60.1,Van,D1_7,2
2,P4,F3,CD3,C301,58,Truck,D04,28,4,187.2,CityDeliveryTruck,D3_4,6
1,P15,F4,CD2,C203,162,Truck,D04,7,3,149.8,Van,D2_2,5
4,P5,F3,CD3,C302,58,SemiTrailler,D06,5,3,153.4,Van,D3_1,5
4,P8,F2,CD1,C101,36,SemiTrailler,D03,6,2,60.9,Van,D1_4,2
1,P9,F3,CD1,C104,36,SemiTrailler,D02,6,3,59.1,CityDeliveryTruck,D1_3,2
1,P2,F3,CD1,C103,36,SemiTrailler,D03,17,1,155.2,CityDeliveryTruck,D1_1,5
3,P3,F1,CD3,C301,58,Truck,D06,26,3,31.2,CityDeliveryTruck,D3_6,1
3,P3,F2,CD1,C105,36,SemiTrailler,D03,10,3,176.2,Van,D1_2,6
4,P7,F3,CD2,C202,162,SemiTrailler,D05,19,1,116.1,MiniVan,D2_1,4
5,P9,F3,CD3,C301,58,Truck,D04,33,3,29.3,Van,D3_7,1
4,P8,F4,CD1,C103,36,SemiTrailler,D02,18,2,143,Van,D1_5,5
1,P11,F4,CD3,C304,58,SemiTrailler,D05,6,2,176.8,CityDeliveryTruck,D3_3,6
1,P2,F3,CD1,C105,36,SemiTrailler,D06,9,2,87.7,CityDeliveryTruck,D1_3,3
4,P11,F3,CD3,C301,58,SemiTrailler,D06,33,1,29.2,Van,D3_5,1
5,P10,F3,CD3,C301,58,Truck,D04,36,2,29.7,MiniVan,D3_7,1
4,P10,F4,CD2,C202,162,Truck,D01,35,3,31.2,Van,D2_5,1
2,P7,F2,CD2,C201,162,Truck,D06,6,4,150.4,MiniVan,D2_6,5
